scene,timestamp,cam,name,level,severity,source,inherited_from
scene_0,1782614174.470330238,cam4,1782614174.470330238.png,1,轻度,inherited,1782614174.221524954
scene_0,1782614174.730596542,cam3,1782614174.730596542.png,1,轻度,inherited,1782614174.470330238
scene_0,1782614174.730596542,cam4,1782614174.730596542.png,1,轻度,inherited,1782614174.470330238
scene_0,1782614175.000552654,cam3,1782614175.000552654.png,1,轻度,inherited,1782614174.730596542
scene_0,1782614175.000552654,cam4,1782614175.000552654.png,1,轻度,inherited,1782614174.730596542
scene_0,1782614175.257322073,cam3,1782614175.257322073.png,1,轻度,inherited,1782614175.000552654
scene_0,1782614175.257322073,cam4,1782614175.257322073.png,1,轻度,inherited,1782614175.000552654
scene_0,1782614175.509262800,cam3,1782614175.509262800.png,1,轻度,inherited,1782614175.257322073
scene_0,1782614175.509262800,cam4,1782614175.509262800.png,1,轻度,inherited,1782614175.257322073
scene_0,1782614175.764346600,cam3,1782614175.764346600.png,1,轻度,inherited,1782614175.509262800
scene_0,1782614175.764346600,cam4,1782614175.764346600.png,1,轻度,inherited,1782614175.509262800
scene_0,1782614176.016279459,cam3,1782614176.016279459.png,1,轻度,inherited,1782614175.764346600
scene_0,1782614176.016279459,cam4,1782614176.016279459.png,1,轻度,inherited,1782614175.764346600
scene_0,1782614176.268071175,cam3,1782614176.268071175.png,1,轻度,inherited,1782614176.016279459
scene_0,1782614176.268071175,cam4,1782614176.268071175.png,1,轻度,inherited,1782614176.016279459
scene_0,1782614176.525375843,cam3,1782614176.525375843.png,1,轻度,inherited,1782614176.268071175
scene_0,1782614176.525375843,cam4,1782614176.525375843.png,1,轻度,inherited,1782614176.268071175
scene_0,1782614176.786388636,cam3,1782614176.786388636.png,1,轻度,inherited,1782614176.525375843
scene_0,1782614176.786388636,cam4,1782614176.786388636.png,1,轻度,inherited,1782614176.525375843
scene_0,1782614177.049041986,cam3,1782614177.049041986.png,1,轻度,inherited,1782614176.786388636
scene_0,1782614177.049041986,cam4,1782614177.049041986.png,1,轻度,inherited,1782614176.786388636
scene_0,1782614177.313045740,cam3,1782614177.313045740.png,1,轻度,inherited,1782614177.049041986
scene_0,1782614177.572103977,cam3,1782614177.572103977.png,1,轻度,inherited,1782614177.313045740
scene_0,1782614177.834555149,cam3,1782614177.834555149.png,1,轻度,inherited,1782614177.572103977
scene_0,1782614205.411392212,cam0,1782614205.411392212.png,1,轻度,manual,
scene_0,1782614205.664308071,cam0,1782614205.664308071.png,1,轻度,inherited,1782614205.411392212
scene_0,1782614205.920627117,cam0,1782614205.920627117.png,1,轻度,inherited,1782614205.664308071
scene_0,1782614206.169558048,cam0,1782614206.169558048.png,1,轻度,inherited,1782614205.920627117
scene_0,1782614206.420837164,cam0,1782614206.420837164.png,1,轻度,inherited,1782614206.169558048
scene_0,1782614206.420837164,cam5,1782614206.420837164.png,1,轻度,manual,
scene_0,1782614206.671736479,cam0,1782614206.671736479.png,1,轻度,inherited,1782614206.420837164
scene_0,1782614206.671736479,cam5,1782614206.671736479.png,1,轻度,inherited,1782614206.420837164
scene_0,1782614206.925270557,cam0,1782614206.925270557.png,1,轻度,inherited,1782614206.671736479
scene_0,1782614206.925270557,cam5,1782614206.925270557.png,1,轻度,inherited,1782614206.671736479
scene_0,1782614207.185044765,cam0,1782614207.185044765.png,1,轻度,inherited,1782614206.925270557
scene_0,1782614207.185044765,cam4,1782614207.185044765.png,1,轻度,manual,
scene_0,1782614207.185044765,cam5,1782614207.185044765.png,1,轻度,inherited,1782614206.925270557
scene_0,1782614207.437052488,cam0,1782614207.437052488.png,1,轻度,inherited,1782614207.185044765
scene_0,1782614207.437052488,cam4,1782614207.437052488.png,1,轻度,inherited,1782614207.185044765
scene_0,1782614207.437052488,cam5,1782614207.437052488.png,1,轻度,inherited,1782614207.185044765
scene_0,1782614207.693693638,cam0,1782614207.693693638.png,1,轻度,inherited,1782614207.437052488
scene_0,1782614207.693693638,cam4,1782614207.693693638.png,1,轻度,inherited,1782614207.437052488
scene_0,1782614207.693693638,cam5,1782614207.693693638.png,1,轻度,inherited,1782614207.437052488
scene_0,1782614207.946203470,cam0,1782614207.946203470.png,1,轻度,inherited,1782614207.693693638
scene_0,1782614207.946203470,cam3,1782614207.946203470.png,1,轻度,manual,
scene_0,1782614207.946203470,cam4,1782614207.946203470.png,1,轻度,inherited,1782614207.693693638
scene_0,1782614207.946203470,cam5,1782614207.946203470.png,1,轻度,inherited,1782614207.693693638
scene_0,1782614208.202379227,cam0,1782614208.202379227.png,1,轻度,inherited,1782614207.946203470
scene_0,1782614208.202379227,cam3,1782614208.202379227.png,1,轻度,manual,
scene_0,1782614208.202379227,cam4,1782614208.202379227.png,1,轻度,inherited,1782614207.946203470
scene_0,1782614208.202379227,cam5,1782614208.202379227.png,1,轻度,inherited,1782614207.946203470
scene_0,1782614208.457055330,cam0,1782614208.457055330.png,1,轻度,inherited,1782614208.202379227
scene_0,1782614208.457055330,cam3,1782614208.457055330.png,1,轻度,manual,
scene_0,1782614208.457055330,cam4,1782614208.457055330.png,1,轻度,inherited,1782614208.202379227
scene_0,1782614208.457055330,cam5,1782614208.457055330.png,1,轻度,inherited,1782614208.202379227
scene_0,1782614208.720355511,cam0,1782614208.720355511.png,1,轻度,manual,
scene_0,1782614208.720355511,cam3,1782614208.720355511.png,1,轻度,inherited,1782614208.457055330
scene_0,1782614208.720355511,cam4,1782614208.720355511.png,1,轻度,inherited,1782614208.457055330
scene_0,1782614208.720355511,cam5,1782614208.720355511.png,1,轻度,inherited,1782614208.457055330
scene_0,1782614208.985917091,cam0,1782614208.985917091.png,1,轻度,manual,
scene_0,1782614208.985917091,cam3,1782614208.985917091.png,1,轻度,inherited,1782614208.720355511
scene_0,1782614208.985917091,cam4,1782614208.985917091.png,1,轻度,inherited,1782614208.720355511
scene_0,1782614208.985917091,cam5,1782614208.985917091.png,1,轻度,inherited,1782614208.720355511
scene_0,1782614209.244832754,cam0,1782614209.244832754.png,1,轻度,inherited,1782614208.985917091
scene_0,1782614209.244832754,cam3,1782614209.244832754.png,1,轻度,inherited,1782614208.985917091
scene_0,1782614209.244832754,cam4,1782614209.244832754.png,1,轻度,inherited,1782614208.985917091
scene_0,1782614209.244832754,cam5,1782614209.244832754.png,1,轻度,inherited,1782614208.985917091
scene_0,1782614209.516497135,cam0,1782614209.516497135.png,1,轻度,inherited,1782614209.244832754
scene_0,1782614209.516497135,cam3,1782614209.516497135.png,1,轻度,inherited,1782614209.244832754
scene_0,1782614209.516497135,cam4,1782614209.516497135.png,1,轻度,inherited,1782614209.244832754
scene_0,1782614209.516497135,cam5,1782614209.516497135.png,1,轻度,inherited,1782614209.244832754
scene_0,1782614209.781608105,cam0,1782614209.781608105.png,1,轻度,inherited,1782614209.516497135
scene_0,1782614209.781608105,cam3,1782614209.781608105.png,1,轻度,inherited,1782614209.516497135
scene_0,1782614209.781608105,cam4,1782614209.781608105.png,1,轻度,inherited,1782614209.516497135
scene_0,1782614209.781608105,cam5,1782614209.781608105.png,1,轻度,inherited,1782614209.516497135
scene_0,1782614210.043141603,cam0,1782614210.043141603.png,1,轻度,inherited,1782614209.781608105
scene_0,1782614210.043141603,cam3,1782614210.043141603.png,1,轻度,inherited,1782614209.781608105
scene_0,1782614210.043141603,cam4,1782614210.043141603.png,1,轻度,inherited,1782614209.781608105
scene_0,1782614210.304386139,cam3,1782614210.304386139.png,1,轻度,inherited,1782614210.043141603
scene_0,1782614210.304386139,cam4,1782614210.304386139.png,1,轻度,inherited,1782614210.043141603
scene_0,1782614210.563789845,cam3,1782614210.563789845.png,1,轻度,inherited,1782614210.304386139
scene_0,1782614210.563789845,cam4,1782614210.563789845.png,1,轻度,inherited,1782614210.304386139
scene_0,1782614210.828574657,cam3,1782614210.828574657.png,1,轻度,inherited,1782614210.563789845
scene_0,1782614210.828574657,cam4,1782614210.828574657.png,1,轻度,inherited,1782614210.563789845
scene_0,1782614211.096414566,cam3,1782614211.096414566.png,1,轻度,inherited,1782614210.828574657
scene_0,1782614211.363494158,cam3,1782614211.363494158.png,1,轻度,inherited,1782614211.096414566
scene_0,1782614211.623370647,cam3,1782614211.623370647.png,1,轻度,inherited,1782614211.363494158
scene_0,1782614211.881730318,cam3,1782614211.881730318.png,1,轻度,inherited,1782614211.623370647
scene_0,1782614212.148237467,cam3,1782614212.148237467.png,1,轻度,inherited,1782614211.881730318
scene_0,1782614212.425618172,cam3,1782614212.425618172.png,1,轻度,inherited,1782614212.148237467
scene_0,1782614212.690859079,cam3,1782614212.690859079.png,1,轻度,inherited,1782614212.425618172
scene_0,1782614212.954691648,cam3,1782614212.954691648.png,1,轻度,inherited,1782614212.690859079
scene_0,1782614213.221743345,cam3,1782614213.221743345.png,1,轻度,inherited,1782614212.954691648
scene_0,1782614213.482132196,cam3,1782614213.482132196.png,1,轻度,inherited,1782614213.221743345
scene_0,1782614213.735810041,cam3,1782614213.735810041.png,1,轻度,inherited,1782614213.482132196
scene_0,1782614213.990280151,cam3,1782614213.990280151.png,1,轻度,inherited,1782614213.735810041
scene_0,1782614214.244521856,cam3,1782614214.244521856.png,1,轻度,inherited,1782614213.990280151
scene_0,1782614214.501629829,cam3,1782614214.501629829.png,1,轻度,inherited,1782614214.244521856
scene_0,1782614214.752258539,cam3,1782614214.752258539.png,1,轻度,inherited,1782614214.501629829
scene_0,1782614215.007981539,cam3,1782614215.007981539.png,1,轻度,inherited,1782614214.752258539
scene_0,1782614215.264155149,cam3,1782614215.264155149.png,1,轻度,inherited,1782614215.007981539
scene_0,1782614215.518404007,cam3,1782614215.518404007.png,1,轻度,inherited,1782614215.264155149
scene_0,1782614215.770555019,cam3,1782614215.770555019.png,1,轻度,inherited,1782614215.518404007
scene_0,1782614216.024199963,cam3,1782614216.024199963.png,1,轻度,inherited,1782614215.770555019
scene_0,1782614216.283083200,cam3,1782614216.283083200.png,1,轻度,inherited,1782614216.024199963
scene_0,1782614216.538320541,cam3,1782614216.538320541.png,1,轻度,inherited,1782614216.283083200
scene_0,1782614216.796559811,cam3,1782614216.796559811.png,1,轻度,inherited,1782614216.538320541
scene_0,1782614217.049098969,cam3,1782614217.049098969.png,1,轻度,inherited,1782614216.796559811
scene_0,1782614217.306285858,cam3,1782614217.306285858.png,1,轻度,inherited,1782614217.049098969
scene_0,1782614217.564031124,cam3,1782614217.564031124.png,1,轻度,inherited,1782614217.306285858
scene_0,1782614217.820574045,cam3,1782614217.820574045.png,1,轻度,inherited,1782614217.564031124
scene_0,1782614218.079209805,cam3,1782614218.079209805.png,1,轻度,inherited,1782614217.820574045
scene_0,1782614218.329839945,cam3,1782614218.329839945.png,1,轻度,inherited,1782614218.079209805
scene_0,1782614279.281437159,cam4,1782614279.281437159.png,1,轻度,manual,
scene_0,1782614279.545806646,cam3,1782614279.545806646.png,1,轻度,manual,
scene_0,1782614279.545806646,cam4,1782614279.545806646.png,1,轻度,manual,
scene_0,1782614279.809392691,cam3,1782614279.809392691.png,1,轻度,manual,
scene_0,1782614279.809392691,cam4,1782614279.809392691.png,1,轻度,manual,
scene_0,1782614280.065984726,cam3,1782614280.065984726.png,1,轻度,inherited,1782614279.809392691
scene_0,1782614280.065984726,cam4,1782614280.065984726.png,1,轻度,inherited,1782614279.809392691
scene_0,1782614280.318626404,cam3,1782614280.318626404.png,1,轻度,inherited,1782614280.065984726
scene_0,1782614280.318626404,cam4,1782614280.318626404.png,1,轻度,inherited,1782614280.065984726
scene_0,1782614280.569347382,cam3,1782614280.569347382.png,1,轻度,inherited,1782614280.318626404
scene_0,1782614280.569347382,cam4,1782614280.569347382.png,1,轻度,inherited,1782614280.318626404
scene_0,1782614280.819095135,cam3,1782614280.819095135.png,1,轻度,inherited,1782614280.569347382
scene_0,1782614280.819095135,cam4,1782614280.819095135.png,1,轻度,inherited,1782614280.569347382
scene_0,1782614281.071573734,cam3,1782614281.071573734.png,1,轻度,inherited,1782614280.819095135
scene_0,1782614281.071573734,cam4,1782614281.071573734.png,1,轻度,inherited,1782614280.819095135
scene_0,1782614281.329985380,cam3,1782614281.329985380.png,1,轻度,inherited,1782614281.071573734
scene_0,1782614281.582121611,cam3,1782614281.582121611.png,1,轻度,inherited,1782614281.329985380
scene_0,1782614281.833849430,cam3,1782614281.833849430.png,1,轻度,inherited,1782614281.582121611
scene_0,1782614282.089358807,cam3,1782614282.089358807.png,1,轻度,inherited,1782614281.833849430
scene_0,1782614282.342761040,cam3,1782614282.342761040.png,1,轻度,inherited,1782614282.089358807
scene_0,1782614282.601224422,cam3,1782614282.601224422.png,1,轻度,inherited,1782614282.342761040
scene_0,1782614282.863908768,cam3,1782614282.863908768.png,1,轻度,inherited,1782614282.601224422
scene_0,1782614283.126356125,cam3,1782614283.126356125.png,1,轻度,inherited,1782614282.863908768
scene_0,1782614283.382620573,cam3,1782614283.382620573.png,1,轻度,inherited,1782614283.126356125
scene_0,1782614283.636595488,cam3,1782614283.636595488.png,1,轻度,inherited,1782614283.382620573
scene_0,1782614283.896749496,cam3,1782614283.896749496.png,1,轻度,inherited,1782614283.636595488
scene_0,1782614336.746593714,cam0,1782614336.746593714.png,1,轻度,manual,
scene_0,1782614337.015223742,cam0,1782614337.015223742.png,1,轻度,inherited,1782614336.746593714
scene_0,1782614337.278530598,cam0,1782614337.278530598.png,1,轻度,inherited,1782614337.015223742
scene_0,1782614337.540488005,cam0,1782614337.540488005.png,1,轻度,inherited,1782614337.278530598
scene_0,1782614337.804350615,cam0,1782614337.804350615.png,1,轻度,inherited,1782614337.540488005
scene_0,1782614338.056009531,cam0,1782614338.056009531.png,1,轻度,inherited,1782614337.804350615
scene_0,1782614338.319509745,cam0,1782614338.319509745.png,1,轻度,inherited,1782614338.056009531
scene_0,1782614338.570635319,cam0,1782614338.570635319.png,1,轻度,inherited,1782614338.319509745
scene_0,1782614338.570635319,cam1,1782614338.570635319.png,1,轻度,manual,
scene_0,1782614338.820330381,cam0,1782614338.820330381.png,1,轻度,inherited,1782614338.570635319
scene_0,1782614338.820330381,cam1,1782614338.820330381.png,1,轻度,manual,
scene_0,1782614339.077241659,cam0,1782614339.077241659.png,1,轻度,inherited,1782614338.820330381
scene_0,1782614339.077241659,cam1,1782614339.077241659.png,1,轻度,inherited,1782614338.820330381
scene_0,1782614339.330993414,cam0,1782614339.330993414.png,1,轻度,inherited,1782614339.077241659
scene_0,1782614339.330993414,cam1,1782614339.330993414.png,1,轻度,inherited,1782614339.077241659
scene_0,1782614339.586838961,cam0,1782614339.586838961.png,1,轻度,inherited,1782614339.330993414
scene_0,1782614339.586838961,cam1,1782614339.586838961.png,1,轻度,inherited,1782614339.330993414
scene_0,1782614339.841818571,cam0,1782614339.841818571.png,1,轻度,inherited,1782614339.586838961
scene_0,1782614339.841818571,cam1,1782614339.841818571.png,1,轻度,inherited,1782614339.586838961
scene_0,1782614340.104600191,cam0,1782614340.104600191.png,1,轻度,inherited,1782614339.841818571
scene_0,1782614340.104600191,cam1,1782614340.104600191.png,1,轻度,inherited,1782614339.841818571
scene_0,1782614340.359568357,cam0,1782614340.359568357.png,1,轻度,inherited,1782614340.104600191
scene_0,1782614340.359568357,cam1,1782614340.359568357.png,1,轻度,inherited,1782614340.104600191
scene_0,1782614340.616016150,cam0,1782614340.616016150.png,1,轻度,inherited,1782614340.359568357
scene_0,1782614340.616016150,cam1,1782614340.616016150.png,1,轻度,inherited,1782614340.359568357
scene_0,1782614340.872343779,cam0,1782614340.872343779.png,1,轻度,inherited,1782614340.616016150
scene_0,1782614340.872343779,cam1,1782614340.872343779.png,1,轻度,inherited,1782614340.616016150
scene_0,1782614341.125309229,cam0,1782614341.125309229.png,1,轻度,inherited,1782614340.872343779
scene_0,1782614341.125309229,cam1,1782614341.125309229.png,1,轻度,inherited,1782614340.872343779
scene_0,1782614341.377936840,cam0,1782614341.377936840.png,1,轻度,inherited,1782614341.125309229
scene_0,1782614341.377936840,cam1,1782614341.377936840.png,1,轻度,inherited,1782614341.125309229
scene_0,1782614341.630016327,cam0,1782614341.630016327.png,1,轻度,inherited,1782614341.377936840
scene_0,1782614341.630016327,cam1,1782614341.630016327.png,1,轻度,inherited,1782614341.377936840
scene_0,1782614341.884289026,cam0,1782614341.884289026.png,1,轻度,inherited,1782614341.630016327
scene_0,1782614341.884289026,cam1,1782614341.884289026.png,1,轻度,inherited,1782614341.630016327
scene_0,1782614342.136646986,cam0,1782614342.136646986.png,1,轻度,inherited,1782614341.884289026
scene_0,1782614342.136646986,cam1,1782614342.136646986.png,1,轻度,inherited,1782614341.884289026
scene_0,1782614342.392419338,cam0,1782614342.392419338.png,1,轻度,inherited,1782614342.136646986
scene_0,1782614342.392419338,cam1,1782614342.392419338.png,1,轻度,inherited,1782614342.136646986
scene_0,1782614342.647491693,cam0,1782614342.647491693.png,1,轻度,inherited,1782614342.392419338
scene_0,1782614342.647491693,cam1,1782614342.647491693.png,1,轻度,inherited,1782614342.392419338
scene_0,1782614342.906224251,cam0,1782614342.906224251.png,1,轻度,inherited,1782614342.647491693
scene_0,1782614342.906224251,cam1,1782614342.906224251.png,1,轻度,inherited,1782614342.647491693
scene_0,1782614343.166419506,cam0,1782614343.166419506.png,1,轻度,inherited,1782614342.906224251
scene_0,1782614343.166419506,cam1,1782614343.166419506.png,1,轻度,inherited,1782614342.906224251
scene_0,1782614343.419861794,cam0,1782614343.419861794.png,1,轻度,inherited,1782614343.166419506
scene_0,1782614343.419861794,cam1,1782614343.419861794.png,1,轻度,inherited,1782614343.166419506
scene_0,1782614343.673806667,cam0,1782614343.673806667.png,1,轻度,inherited,1782614343.419861794
scene_0,1782614343.673806667,cam1,1782614343.673806667.png,1,轻度,inherited,1782614343.419861794
scene_0,1782614343.926367760,cam0,1782614343.926367760.png,1,轻度,inherited,1782614343.673806667
scene_0,1782614343.926367760,cam1,1782614343.926367760.png,1,轻度,inherited,1782614343.673806667
scene_0,1782614344.176361084,cam0,1782614344.176361084.png,1,轻度,inherited,1782614343.926367760
scene_0,1782614344.176361084,cam1,1782614344.176361084.png,1,轻度,inherited,1782614343.926367760
scene_0,1782614344.432905912,cam0,1782614344.432905912.png,1,轻度,inherited,1782614344.176361084
scene_0,1782614344.432905912,cam1,1782614344.432905912.png,1,轻度,inherited,1782614344.176361084
scene_0,1782614344.688347816,cam0,1782614344.688347816.png,1,轻度,inherited,1782614344.432905912
scene_0,1782614344.688347816,cam1,1782614344.688347816.png,1,轻度,inherited,1782614344.432905912
scene_0,1782614344.942916870,cam0,1782614344.942916870.png,1,轻度,inherited,1782614344.688347816
scene_0,1782614344.942916870,cam1,1782614344.942916870.png,1,轻度,inherited,1782614344.688347816
scene_0,1782614345.201577663,cam0,1782614345.201577663.png,1,轻度,inherited,1782614344.942916870
scene_0,1782614345.201577663,cam1,1782614345.201577663.png,1,轻度,inherited,1782614344.942916870
scene_0,1782614345.454612017,cam0,1782614345.454612017.png,1,轻度,inherited,1782614345.201577663
scene_0,1782614345.454612017,cam1,1782614345.454612017.png,1,轻度,inherited,1782614345.201577663
scene_0,1782614345.454612017,cam3,1782614345.454612017.png,1,轻度,manual,
scene_0,1782614345.713028908,cam0,1782614345.713028908.png,1,轻度,inherited,1782614345.454612017
scene_0,1782614345.713028908,cam1,1782614345.713028908.png,1,轻度,inherited,1782614345.454612017
scene_0,1782614345.713028908,cam3,1782614345.713028908.png,1,轻度,manual,
scene_0,1782614345.973345518,cam0,1782614345.973345518.png,1,轻度,inherited,1782614345.713028908
scene_0,1782614345.973345518,cam1,1782614345.973345518.png,1,轻度,inherited,1782614345.713028908
scene_0,1782614345.973345518,cam3,1782614345.973345518.png,1,轻度,inherited,1782614345.713028908
scene_0,1782614346.234682083,cam0,1782614346.234682083.png,1,轻度,inherited,1782614345.973345518
scene_0,1782614346.234682083,cam1,1782614346.234682083.png,1,轻度,inherited,1782614345.973345518
scene_0,1782614346.234682083,cam3,1782614346.234682083.png,1,轻度,inherited,1782614345.973345518
scene_0,1782614346.494194746,cam0,1782614346.494194746.png,1,轻度,inherited,1782614346.234682083
scene_0,1782614346.494194746,cam1,1782614346.494194746.png,1,轻度,inherited,1782614346.234682083
scene_0,1782614346.494194746,cam3,1782614346.494194746.png,1,轻度,inherited,1782614346.234682083
scene_0,1782614346.750090599,cam0,1782614346.750090599.png,1,轻度,inherited,1782614346.494194746
scene_0,1782614346.750090599,cam1,1782614346.750090599.png,1,轻度,inherited,1782614346.494194746
scene_0,1782614346.750090599,cam3,1782614346.750090599.png,1,轻度,inherited,1782614346.494194746
scene_0,1782614347.012842417,cam0,1782614347.012842417.png,1,轻度,inherited,1782614346.750090599
scene_0,1782614347.012842417,cam1,1782614347.012842417.png,1,轻度,inherited,1782614346.750090599
scene_0,1782614347.012842417,cam3,1782614347.012842417.png,1,轻度,inherited,1782614346.750090599
scene_0,1782614347.270945072,cam0,1782614347.270945072.png,1,轻度,inherited,1782614347.012842417
scene_0,1782614347.270945072,cam1,1782614347.270945072.png,1,轻度,inherited,1782614347.012842417
scene_0,1782614347.270945072,cam3,1782614347.270945072.png,1,轻度,inherited,1782614347.012842417
scene_0,1782614347.531657219,cam0,1782614347.531657219.png,1,轻度,inherited,1782614347.270945072
scene_0,1782614347.531657219,cam1,1782614347.531657219.png,1,轻度,inherited,1782614347.270945072
scene_0,1782614347.531657219,cam3,1782614347.531657219.png,1,轻度,inherited,1782614347.270945072
scene_0,1782614347.791368484,cam0,1782614347.791368484.png,1,轻度,inherited,1782614347.531657219
scene_0,1782614347.791368484,cam1,1782614347.791368484.png,1,轻度,inherited,1782614347.531657219
scene_0,1782614347.791368484,cam3,1782614347.791368484.png,1,轻度,inherited,1782614347.531657219
scene_0,1782614348.053326607,cam0,1782614348.053326607.png,1,轻度,inherited,1782614347.791368484
scene_0,1782614348.053326607,cam1,1782614348.053326607.png,1,轻度,inherited,1782614347.791368484
scene_0,1782614348.053326607,cam3,1782614348.053326607.png,1,轻度,inherited,1782614347.791368484
scene_0,1782614348.317367792,cam0,1782614348.317367792.png,1,轻度,inherited,1782614348.053326607
scene_0,1782614348.317367792,cam1,1782614348.317367792.png,1,轻度,inherited,1782614348.053326607
scene_0,1782614348.317367792,cam3,1782614348.317367792.png,1,轻度,inherited,1782614348.053326607
scene_0,1782614348.577789783,cam0,1782614348.577789783.png,1,轻度,inherited,1782614348.317367792
scene_0,1782614348.577789783,cam1,1782614348.577789783.png,1,轻度,inherited,1782614348.317367792
scene_0,1782614348.577789783,cam3,1782614348.577789783.png,1,轻度,inherited,1782614348.317367792
scene_0,1782614348.840314388,cam0,1782614348.840314388.png,1,轻度,inherited,1782614348.577789783
scene_0,1782614348.840314388,cam1,1782614348.840314388.png,1,轻度,inherited,1782614348.577789783
scene_0,1782614348.840314388,cam3,1782614348.840314388.png,1,轻度,inherited,1782614348.577789783
scene_0,1782614349.105391026,cam0,1782614349.105391026.png,1,轻度,inherited,1782614348.840314388
scene_0,1782614349.105391026,cam1,1782614349.105391026.png,1,轻度,inherited,1782614348.840314388
scene_0,1782614349.105391026,cam3,1782614349.105391026.png,1,轻度,inherited,1782614348.840314388
scene_0,1782614349.366722107,cam0,1782614349.366722107.png,1,轻度,inherited,1782614349.105391026
scene_0,1782614349.366722107,cam3,1782614349.366722107.png,1,轻度,inherited,1782614349.105391026
scene_0,1782614349.617746830,cam0,1782614349.617746830.png,1,轻度,inherited,1782614349.366722107
scene_0,1782614349.617746830,cam3,1782614349.617746830.png,1,轻度,inherited,1782614349.366722107
scene_0,1782614349.870666027,cam0,1782614349.870666027.png,1,轻度,inherited,1782614349.617746830
scene_0,1782614349.870666027,cam3,1782614349.870666027.png,1,轻度,inherited,1782614349.617746830
scene_0,1782614350.123761654,cam0,1782614350.123761654.png,1,轻度,inherited,1782614349.870666027
